id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6659,North Buena Vista,Clayton County,IA,Iowa,52053 / 52066 / 52073,City,42.67972,-90.95652,563,116,45,30250,2601505,92469,America/Chicago
6660,North English,Iowa County / Keokuk County,IA,Iowa,52316,City,41.51640,-92.07763,319,1022,456,46625,1433069,0,America/Chicago
6661,North Liberty,Johnson County,IA,Iowa,52317 / 52340,City,41.74918,-91.59795,319,18520,5906,72451,22926381,0,America/Chicago
6662,North Washington,Chickasaw County,IA,Iowa,50659 / 50661,City,43.11803,-92.41685,641,114,57,47188,514555,0,America/Chicago
6663,Northwood,Worth County,IA,Iowa,50459,City,43.44412,-93.22104,641,2000,925,39583,9745770,0,America/Chicago
6664,Norwalk,Polk County / Warren County,IA,Iowa,50061 / 50211 / 50321,City,41.49168,-93.70212,515,10590,3597,79252,28098083,916531,America/Chicago
6665,Norway,Benton County,IA,Iowa,52318,City,41.90278,-91.92157,319,524,269,48516,1154591,0,America/Chicago
6666,Numa,Appanoose County,IA,Iowa,52544,City,40.68807,-92.97798,641,90,30,37500,1146680,0,America/Chicago
6667,Oakland,Pottawattamie County,IA,Iowa,51560,City,41.30916,-95.39667,712,1509,585,67386,3686512,403170,America/Chicago
6668,Oakland Acres,Jasper County,IA,Iowa,50112,City,41.71722,-92.82047,641,155,51,82083,733443,57402,America/Chicago
6669,Oakville,Louisa County,IA,Iowa,52646,City,41.09976,-91.04459,319,171,50,27500,1083945,12814,America/Chicago
6670,Ocheyedan,Osceola County,IA,Iowa,51354,City,43.41608,-95.53473,712,460,242,42188,3011736,0,America/Chicago
6671,Odebolt,Sac County,IA,Iowa,51458,City,42.31221,-95.25055,712,965,464,47727,2713561,0,America/Chicago
6672,Oelwein,Fayette County,IA,Iowa,50662,City,42.67332,-91.91350,319,6056,2778,37875,12450068,122922,America/Chicago
6673,Ogden,Boone County,IA,Iowa,50212,City,42.03915,-94.02773,515,1996,853,50313,3538326,0,America/Chicago
6674,Okoboji,Dickinson County,IA,Iowa,51355,City,43.38635,-95.14833,712,830,401,56932,4860819,12936,America/Chicago
6675,Olds,Henry County,IA,Iowa,52647 / 52659,City,41.13419,-91.54488,319,231,85,50313,873753,0,America/Chicago
6676,Olin,Jones County,IA,Iowa,52320,City,41.99807,-91.14155,319,684,311,40179,2648687,21490,America/Chicago
6677,Ollie,Keokuk County,IA,Iowa,52576,City,41.19807,-92.09240,641,210,104,40469,2562541,0,America/Chicago
6678,Onawa,Monona County,IA,Iowa,51040,City,42.02665,-96.09724,712,2868,1272,31610,13435793,0,America/Chicago
6679,Onslow,Jones County,IA,Iowa,52321,City,42.10696,-91.01515,319,196,97,40938,583274,0,America/Chicago
6680,Orange City,Sioux County,IA,Iowa,51041,City,43.00721,-96.05835,712,6179,1998,62568,10933152,0,America/Chicago
6681,Orchard,Mitchell County,IA,Iowa,50460,City,43.22747,-92.77214,641,70,18,50000,229007,0,America/Chicago
6682,Orient,Adair County,IA,Iowa,50858,City,41.20304,-94.41468,641,374,169,44063,1175979,0,America/Chicago
6683,Orleans,Dickinson County,IA,Iowa,51360,City,43.44718,-95.09249,712,613,231,67614,2904434,21413,America/Chicago
6684,Osage,Mitchell County,IA,Iowa,50461,City,43.28414,-92.81103,641,3624,1597,48059,5873195,0,America/Chicago
6685,Osceola,Clarke County,IA,Iowa,50213,City,41.03389,-93.76550,641,5037,2013,40204,16740435,529183,America/Chicago
6686,Oskaloosa,Mahaska County,IA,Iowa,52577,City,41.29640,-92.64436,641,11523,4977,40016,20775834,39894,America/Chicago
6687,Ossian,Winneshiek County,IA,Iowa,52161,City,43.14636,-91.76460,563,809,385,51583,2757354,0,America/Chicago
6688,Osterdock,Clayton County,IA,Iowa,52035 / 52052,City,42.73360,-91.15791,563,57,33,68125,1190316,0,America/Chicago
6689,Otho,Webster County,IA,Iowa,50569,City,42.42469,-94.15024,515,515,237,42232,1186076,0,America/Chicago
6690,Oto,Woodbury County,IA,Iowa,51044,City,42.28388,-95.89307,712,107,43,38438,685907,0,America/Chicago
6691,Otranto,Mitchell County,IA,Iowa,50472,CDP,43.45830,-92.98575,641,7,7,36458,1129880,0,America/Chicago
6692,Ottosen,Humboldt County,IA,Iowa,50570,City,42.89497,-94.37997,515,36,26,40000,1469608,0,America/Chicago
6693,Ottumwa,Wapello County,IA,Iowa,52501,City,41.02001,-92.41130,641,24487,10068,38570,41076954,1741889,America/Chicago
6694,Owasa,Hardin County,IA,Iowa,50126,City,42.43359,-93.20715,641,43,19,26875,1462205,0,America/Chicago
6695,Oxford,Johnson County,IA,Iowa,52322,City,41.72334,-91.79045,319,811,370,60441,2357310,0,America/Chicago
6696,Oxford Junction,Jones County,IA,Iowa,52323,City,41.98363,-90.95626,563,482,227,35417,1799729,0,America/Chicago
6697,Oyens,Plymouth County,IA,Iowa,51031 / 51045,City,42.82027,-96.05780,712,102,33,62813,262693,0,America/Chicago
6698,Pacific Junction,Mills County,IA,Iowa,51561,City,41.01861,-95.79917,712,460,155,39688,1961815,0,America/Chicago
6699,Packwood,Jefferson County,IA,Iowa,52580,City,41.13279,-92.08268,319,222,102,58500,1967754,0,America/Chicago
6700,Palmer,Pocahontas County,IA,Iowa,50571,City,42.63053,-94.60053,712,157,71,43750,1095799,0,America/Chicago
6701,Palo,Linn County,IA,Iowa,52324,City,42.06611,-91.79546,319,1077,380,69444,3179431,2933,America/Chicago
6702,Panama,Shelby County,IA,Iowa,51562,City,41.72638,-95.47222,712,216,83,54792,740630,0,America/Chicago
6703,Panora,Guthrie County,IA,Iowa,50216,City,41.69165,-94.36302,641,1066,434,46371,4662596,0,America/Chicago
6704,Panorama Park,Scott County,IA,Iowa,52722,City,41.55559,-90.45319,563,151,50,47500,138641,0,America/Chicago
6705,Parkersburg,Butler County,IA,Iowa,50665,City,42.57748,-92.78686,319,1952,814,43452,3665451,0,America/Chicago
6706,Park View,Scott County,IA,Iowa,52748,CDP,41.69420,-90.54569,563,2476,815,75551,2738828,0,America/Chicago
6707,Parnell,Iowa County,IA,Iowa,52325,City,41.58306,-92.00407,319,236,107,57750,447582,0,America/Chicago
6708,Paton,Greene County,IA,Iowa,50217,City,42.16442,-94.25524,515,230,105,54375,1460896,2306,America/Chicago
6709,Patterson,Madison County,IA,Iowa,50218 / 50229 / 50273,City,41.34832,-93.88050,515,159,66,50000,1218997,0,America/Chicago
6710,Paullina,O'Brien County,IA,Iowa,51046,City,42.97915,-95.68807,712,1017,435,54375,2189745,0,America/Chicago
6711,Pella,Mahaska County / Marion County,IA,Iowa,50219,City,41.40514,-92.91775,641,10255,3776,55551,23294059,0,America/Chicago
6712,Peosta,Dubuque County,IA,Iowa,52068,City,42.45056,-90.85041,563,1659,515,81397,5814817,0,America/Chicago
6713,Percival,Fremont County,IA,Iowa,51648,CDP,40.74889,-95.81361,712,21,14,28500,1139554,0,America/Chicago
6714,Perry,Dallas County,IA,Iowa,50220,City,41.83860,-94.10718,515,7810,2769,42225,13507130,13354,America/Chicago
6715,Persia,Harrison County,IA,Iowa,51563,City,41.57999,-95.56806,712,296,120,55714,1218194,0,America/Chicago
6716,Peterson,Clay County,IA,Iowa,51047,City,42.91803,-95.34389,712,310,162,38750,1344655,56497,America/Chicago
6717,Pierson,Woodbury County,IA,Iowa,51048,City,42.54416,-95.86751,712,351,179,36250,1597582,0,America/Chicago
6718,Pilot Mound,Boone County,IA,Iowa,50223,City,42.16442,-94.01662,515,174,95,32188,2544586,0,America/Chicago
6719,Pioneer,Humboldt County,IA,Iowa,50541,City,42.65386,-94.39247,515,22,2,44059,164585,0,America/Chicago
6720,Pisgah,Harrison County,IA,Iowa,51564,City,41.83138,-95.92557,712,237,121,36875,2608748,0,America/Chicago
6721,Plainfield,Bremer County,IA,Iowa,50666,City,42.84748,-92.53713,319,419,184,52917,844917,0,America/Chicago
6722,Plano,Appanoose County,IA,Iowa,52581,City,40.75556,-93.04659,641,68,28,43750,1461594,0,America/Chicago
6723,Pleasant Hill,Polk County,IA,Iowa,50317 / 50327,City,41.58388,-93.51994,515,9750,3443,72431,23587149,814551,America/Chicago
6724,Pleasanton,Decatur County,IA,Iowa,50065,City,40.58056,-93.74383,641,46,7,37083,899130,0,America/Chicago
6725,Pleasant Plain,Jefferson County,IA,Iowa,52540,City,41.14724,-91.85906,319,102,23,36875,2637328,0,America/Chicago
6726,Pleasantville,Marion County,IA,Iowa,50225,City,41.38583,-93.26937,515,1669,752,48100,6558223,18922,America/Chicago
6727,Plover,Pocahontas County,IA,Iowa,50573 / 50581,City,42.87830,-94.62053,712,74,21,36250,1406980,0,America/Chicago
6728,Plymouth,Cerro Gordo County,IA,Iowa,50464,City,43.24580,-93.12298,641,371,161,48438,1131683,0,America/Chicago
6729,Pocahontas,Pocahontas County,IA,Iowa,50574,City,42.73553,-94.66915,712,1710,860,41447,5222760,0,America/Chicago
6730,Polk City,Polk County,IA,Iowa,50156 / 50226,City,41.77138,-93.71300,515,4428,1409,78903,12989541,378926,America/Chicago
6731,Pomeroy,Calhoun County,IA,Iowa,50575,City,42.55109,-94.68387,712,623,329,37986,5288443,0,America/Chicago
6732,Popejoy,Franklin County,IA,Iowa,50006 / 50227,City,42.59387,-93.42604,515,76,13,38750,1916554,0,America/Chicago
6733,Portland,Cerro Gordo County,IA,Iowa,50401,CDP,43.12858,-93.12354,641,17,6,48152,546441,0,America/Chicago
6734,Portsmouth,Shelby County,IA,Iowa,51565,City,41.65027,-95.51861,712,188,82,46250,714105,1208,America/Chicago
6735,Postville,Allamakee County / Clayton County,IA,Iowa,52162,City,43.08395,-91.56821,563,2116,830,33944,5465968,0,America/Chicago
6736,Prairieburg,Linn County,IA,Iowa,52219,City,42.23833,-91.42238,319,181,69,44063,1194124,0,America/Chicago
6737,Prairie City,Jasper County,IA,Iowa,50228,City,41.59943,-93.23521,515,1712,711,58173,3209564,0,America/Chicago
6738,Prescott,Adams County,IA,Iowa,50859,City,41.02304,-94.61358,641,242,124,52500,1035851,0,America/Chicago
6739,Preston,Jackson County,IA,Iowa,52069,City,42.05030,-90.41402,563,978,469,46635,2493850,0,America/Chicago
6740,Primghar,O'Brien County,IA,Iowa,51245,City,43.08692,-95.62723,712,876,374,51042,3582455,0,America/Chicago
6741,Princeton,Scott County,IA,Iowa,52768,City,41.67475,-90.34041,563,940,422,62500,6673472,134,America/Chicago
6742,Promise City,Wayne County,IA,Iowa,52583,City,40.74751,-93.14715,641,113,76,53750,489474,9751,America/Chicago
6743,Protivin,Chickasaw County / Howard County,IA,Iowa,52163 / 52171,City,43.21643,-92.08914,563,278,148,40000,1253550,0,America/Chicago
6744,Pulaski,Davis County,IA,Iowa,52584,City,40.69697,-92.27324,641,282,113,51250,1328137,2349,America/Chicago
6745,Quasqueton,Buchanan County,IA,Iowa,50682 / 52326 / 52329,City,42.39443,-91.76100,319,544,243,42697,2933688,85438,America/Chicago
6746,Quimby,Cherokee County,IA,Iowa,51049,City,42.63026,-95.64195,712,302,150,40625,1052153,0,America/Chicago
6747,Radcliffe,Hardin County,IA,Iowa,50230,City,42.31526,-93.43438,515,536,240,53333,2581283,0,America/Chicago
6748,Rake,Winnebago County,IA,Iowa,50465,City,43.48384,-93.91884,641,219,90,27750,2094456,0,America/Chicago
6749,Ralston,Carroll County / Greene County,IA,Iowa,51443 / 51459 / 51462,City,42.04177,-94.62930,712,75,35,38750,5162218,0,America/Chicago
6750,Randalia,Fayette County,IA,Iowa,52164,City,42.86304,-91.88572,563,65,30,40625,562395,0,America/Chicago
6751,Randall,Hamilton County,IA,Iowa,50231,City,42.23832,-93.60077,515,167,78,43750,1065167,0,America/Chicago
6752,Randolph,Fremont County,IA,Iowa,51649,City,40.87305,-95.56639,712,154,75,47969,822468,0,America/Chicago
6753,Rathbun,Appanoose County,IA,Iowa,52544,City,40.80112,-92.88881,641,87,45,36250,561672,0,America/Chicago
6754,Raymond,Black Hawk County,IA,Iowa,50648 / 50667,City,42.46888,-92.21963,319,809,305,66250,4226354,0,America/Chicago
6755,Readlyn,Bremer County,IA,Iowa,50668,City,42.70221,-92.22546,319,833,343,59750,851122,0,America/Chicago
6756,Reasnor,Jasper County,IA,Iowa,50232,City,41.57833,-93.02325,641,153,69,38750,1434903,0,America/Chicago
6757,Redding,Ringgold County,IA,Iowa,50860,City,40.60471,-94.38774,641,81,27,36250,2576395,23764,America/Chicago
6758,Redfield,Dallas County,IA,Iowa,50233,City,41.58943,-94.19607,515,826,367,47171,3510855,0,America/Chicago
6759,Red Oak,Montgomery County,IA,Iowa,51566 / 51591,City,41.00972,-95.22555,712,5476,2503,31943,10219132,145797,America/Chicago
6760,Reinbeck,Grundy County,IA,Iowa,50669,City,42.32360,-92.59936,319,1635,797,50563,5633309,0,America/Chicago
6761,Rembrandt,Buena Vista County,IA,Iowa,50576,City,42.82553,-95.16638,712,204,71,38125,608527,0,America/Chicago
6762,Remsen,Plymouth County,IA,Iowa,51050,City,42.81471,-95.97335,712,1650,696,51339,3371052,0,America/Chicago
6763,Renwick,Humboldt County,IA,Iowa,50577,City,42.82803,-93.98106,515,267,124,41250,2599913,0,America/Chicago
6764,Rhodes,Marshall County,IA,Iowa,50234,City,41.92554,-93.18631,641,306,120,45000,2626326,0,America/Chicago
6765,Riceville,Howard County / Mitchell County,IA,Iowa,50466,City,43.36248,-92.55331,641,806,387,39896,2846857,26844,America/Chicago
6766,Richland,Keokuk County,IA,Iowa,52585,City,41.18557,-91.99295,319,559,250,51875,1988785,0,America/Chicago
6767,Rickardsville,Dubuque County,IA,Iowa,52039,City,42.58333,-90.88402,563,182,66,72778,2368705,0,America/Chicago
6768,Ricketts,Crawford County,IA,Iowa,51439 / 51460,City,42.12693,-95.57500,712,139,55,47375,661788,0,America/Chicago
6769,Ridgeway,Winneshiek County,IA,Iowa,52165,City,43.29775,-91.98766,563,300,142,47708,1953658,0,America/Chicago
6770,Rinard,Calhoun County,IA,Iowa,51453,City,42.33970,-94.48858,515,52,29,48125,2590570,0,America/Chicago
6771,Ringsted,Emmet County,IA,Iowa,50578,City,43.29468,-94.51164,712,383,201,36563,2793961,0,America/Chicago
6772,Rippey,Greene County,IA,Iowa,50235,City,41.93387,-94.20135,515,285,95,46607,2180011,0,America/Chicago
6773,Riverdale,Scott County,IA,Iowa,52722,City,41.54448,-90.45819,563,430,180,68750,4752722,931553,America/Chicago
6774,Riverside,Washington County,IA,Iowa,52327,City,41.47974,-91.58128,319,1039,466,51250,4572527,0,America/Chicago
6775,River Sioux,Harrison County,IA,Iowa,51545,CDP,41.80582,-96.04640,712,138,39,18487,985684,0,America/Chicago
6776,Riverton,Fremont County,IA,Iowa,51650,City,40.68695,-95.56860,712,285,133,52583,1537769,0,America/Chicago
6777,Robins,Linn County,IA,Iowa,52302 / 52328 / 52341 / 52411,City,42.07111,-91.66684,319,3535,1187,110188,16227453,20935,America/Chicago
6778,Rochester,Cedar County,IA,Iowa,52772,CDP,41.67391,-91.15849,563,40,20,47827,2464954,62149,America/Chicago
6779,Rock Falls,Cerro Gordo County,IA,Iowa,50401 / 50467,City,43.20747,-93.08465,641,151,71,44107,547425,0,America/Chicago
6780,Rockford,Floyd County,IA,Iowa,50468,City,43.05219,-92.94853,641,834,358,42917,1635446,0,America/Chicago
6781,Rock Rapids,Lyon County,IA,Iowa,51246,City,43.42719,-96.17586,712,2550,1065,54583,10980313,20406,America/Chicago
6782,Rock Valley,Sioux County,IA,Iowa,51247,City,43.20526,-96.29503,712,3730,1227,61360,8700689,132703,America/Chicago
6783,Rockwell,Cerro Gordo County,IA,Iowa,50469,City,42.98524,-93.19187,641,1012,474,53421,7724701,0,America/Chicago
6784,Rockwell City,Calhoun County,IA,Iowa,50579,City,42.39526,-94.63387,712,2137,817,42450,10942257,0,America/Chicago
6785,Rodman,Palo Alto County,IA,Iowa,50597,City,43.02858,-94.53109,515,44,24,26667,441302,0,America/Chicago
6786,Rodney,Monona County,IA,Iowa,51051,City,42.20555,-95.95251,712,58,34,16944,420736,0,America/Chicago
6787,Roland,Story County,IA,Iowa,50236,City,42.16637,-93.50188,515,1297,493,71705,2990944,0,America/Chicago
6788,Rolfe,Pocahontas County,IA,Iowa,50581,City,42.81275,-94.52692,712,549,235,38472,2719090,2880,America/Chicago
6789,Rome,Henry County,IA,Iowa,52641 / 52642,City,40.98141,-91.68239,319,116,51,43750,335369,1561,America/Chicago
6790,Rose Hill,Mahaska County,IA,Iowa,52586,City,41.32195,-92.46213,641,166,62,30000,353762,0,America/Chicago
6791,Roseville,Floyd County,IA,Iowa,50468 / 50653,CDP,43.00914,-92.80992,641,0,0,0,9561005,0,America/Chicago
6792,Rossie,Clay County,IA,Iowa,51357,City,43.01331,-95.18861,712,70,28,51875,374235,0,America/Chicago
6793,Rowan,Wright County,IA,Iowa,50470,City,42.74081,-93.55271,641,157,76,31731,1266617,0,America/Chicago
6794,Rowley,Buchanan County,IA,Iowa,52329,City,42.36999,-91.84406,319,268,131,52396,925194,0,America/Chicago
6795,Royal,Clay County,IA,Iowa,51357,City,43.06553,-95.28389,712,417,196,42500,764163,0,America/Chicago
6796,Rudd,Floyd County,IA,Iowa,50471,City,43.12608,-92.90575,641,357,184,41667,2253970,0,America/Chicago
6797,Runnells,Polk County,IA,Iowa,50237,City,41.51110,-93.35743,515,523,193,71250,1103387,0,America/Chicago
6798,Russell,Lucas County,IA,Iowa,50238,City,40.98195,-93.19854,641,535,226,32188,2685787,692,America/Chicago
6799,Ruthven,Palo Alto County,IA,Iowa,51358,City,43.12913,-94.89915,712,700,303,39375,1084187,0,America/Chicago
6800,Rutland,Humboldt County,IA,Iowa,50582,City,42.75914,-94.29774,515,125,51,35625,2333844,0,America/Chicago
6801,Ryan,Delaware County,IA,Iowa,52330,City,42.35138,-91.48155,563,356,158,55000,1111252,0,America/Chicago
6802,Sabula,Jackson County,IA,Iowa,52070,City,42.07113,-90.17402,563,551,243,48688,1046219,2222239,America/Chicago
6803,Sac City,Sac County,IA,Iowa,50583,City,42.42220,-94.98971,712,2105,1023,45528,12589226,173993,America/Chicago
6804,Sageville,Dubuque County,IA,Iowa,52001,City,42.55278,-90.70902,563,104,42,51250,2230413,0,America/Chicago
6805,Salem,Henry County,IA,Iowa,52649,City,40.85281,-91.62016,319,379,214,33182,1581926,9631,America/Chicago
6806,Salix,Woodbury County,IA,Iowa,51052,City,42.30833,-96.28780,712,384,147,55625,4421383,33829,America/Chicago
6807,Sanborn,O'Brien County,IA,Iowa,51248,City,43.18164,-95.65557,712,1396,583,48419,4913243,0,America/Chicago
6808,Sandyville,Warren County,IA,Iowa,50001,City,41.37083,-93.38632,515,52,28,30625,1314244,0,America/Chicago
6809,Saylorville,Polk County,IA,Iowa,50021 / 50023 / 50313,CDP,41.67860,-93.62966,515,2944,1333,71318,18216698,0,America/Chicago
6810,Scarville,Winnebago County,IA,Iowa,50473,City,43.47051,-93.61772,641,71,32,37500,213985,0,America/Chicago
6811,Schaller,Sac County,IA,Iowa,51053,City,42.49970,-95.29305,712,736,336,41875,3260453,0,America/Chicago
6812,Schleswig,Crawford County,IA,Iowa,51461,City,42.16527,-95.43694,712,866,368,50278,3361682,31306,America/Chicago
6813,Scranton,Greene County,IA,Iowa,51462,City,42.02248,-94.54525,712,532,242,43929,4861045,0,America/Chicago
6814,Searsboro,Poweshiek County,IA,Iowa,50242,City,41.58055,-92.70352,641,144,61,30417,1162255,0,America/Chicago
6815,Sergeant Bluff,Woodbury County,IA,Iowa,51054,City,42.40388,-96.35864,712,4551,1412,82419,5486100,802,America/Chicago
6816,Sexton,Kossuth County,IA,Iowa,50511,CDP,43.08274,-94.08912,515,46,17,45099,5701923,0,America/Chicago
6817,Seymour,Wayne County,IA,Iowa,52590,City,40.68251,-93.12104,641,704,279,27639,6074815,10601,America/Chicago
6818,Shambaugh,Page County,IA,Iowa,51632 / 51651,City,40.65888,-95.03192,712,184,82,41875,943238,0,America/Chicago
6819,Shannon City,Ringgold County / Union County,IA,Iowa,50861,City,40.89875,-94.26365,641,70,33,32292,1066714,5196,America/Chicago
6820,Sharpsburg,Taylor County,IA,Iowa,50862,City,40.80249,-94.64247,641,88,33,31875,938593,18565,America/Chicago
6821,Sheffield,Franklin County,IA,Iowa,50475,City,42.89330,-93.21520,641,1125,433,48036,14382610,74080,America/Chicago
6822,Shelby,Pottawattamie County / Shelby County,IA,Iowa,51570,City,41.50667,-95.45056,712,626,254,44167,4846450,0,America/Chicago
6823,Sheldahl,Boone County / Polk County / Story County,IA,Iowa,50226 / 50243 / 50244,City,41.86427,-93.69664,515,321,112,56250,2162509,0,America/Chicago
6824,Sheldon,O'Brien County / Sioux County,IA,Iowa,51201,City,43.17960,-95.84411,712,5115,2262,51500,12069158,0,America/Chicago
6825,Shell Rock,Butler County,IA,Iowa,50670,City,42.71026,-92.58297,319,1313,535,50324,4043759,248030,America/Chicago
6826,Shellsburg,Benton County,IA,Iowa,52332,City,42.09444,-91.86935,319,952,429,48162,1984679,0,America/Chicago
6827,Shenandoah,Fremont County / Page County,IA,Iowa,51601 / 51602 / 51603,City,40.75830,-95.37206,712,4972,2115,36541,9703911,0,America/Chicago
6828,Sherrill,Dubuque County,IA,Iowa,52073,City,42.60389,-90.78457,563,179,73,68750,336465,0,America/Chicago
6829,Shueyville,Johnson County,IA,Iowa,52338 / 52404,City,41.85056,-91.64656,319,646,206,111875,4834961,0,America/Chicago
6830,Sibley,Osceola County,IA,Iowa,51249,City,43.39914,-95.75196,712,2622,1075,40602,4357730,0,America/Chicago
6831,Sidney,Fremont County,IA,Iowa,51652,City,40.74833,-95.64750,712,1048,410,48636,3574674,0,America/Chicago
6832,Sigourney,Keokuk County,IA,Iowa,52591,City,41.33334,-92.20463,641,1987,895,39750,5654114,0,America/Chicago
6833,Silver City,Mills County,IA,Iowa,51571,City,41.11333,-95.63723,712,247,72,69375,563372,0,America/Chicago
6834,Sioux Center,Sioux County,IA,Iowa,51250,City,43.07971,-96.17558,712,7501,2263,66906,16097801,0,America/Chicago
6835,Sioux City,Plymouth County / Woodbury County,IA,Iowa,51054 / 51101 / 51102 / 51103 / 51104 / 51105 / 51106 / 51108 / 51109 / 51111 / 68731,City,42.49567,-96.39053,712,82872,31261,43888,151377897,3018320,America/Chicago
6836,Sioux Rapids,Buena Vista County,IA,Iowa,50585,City,42.89331,-95.15111,712,776,297,39375,2143971,0,America/Chicago
6837,Slater,Story County,IA,Iowa,50243 / 50244,City,41.87776,-93.67855,515,1497,544,72222,3473077,0,America/Chicago
6838,Sloan,Woodbury County,IA,Iowa,51055,City,42.23277,-96.22808,712,983,421,57656,1611552,0,America/Chicago
6839,Smithland,Woodbury County,IA,Iowa,51056,City,42.22916,-95.93084,712,223,80,38750,956520,0,America/Chicago
6840,Soldier,Monona County,IA,Iowa,51572,City,41.98527,-95.77945,712,167,70,38750,759541,0,America/Chicago
6841,Solon,Johnson County,IA,Iowa,52333,City,41.80723,-91.49406,319,2587,776,75833,3323949,0,America/Chicago
6842,Somers,Calhoun County,IA,Iowa,50586,City,42.37831,-94.42997,515,108,63,42813,896389,0,America/Chicago
6843,South Amana,Iowa County,IA,Iowa,52203 / 52334,CDP,41.77612,-91.96740,319,160,82,61176,3586675,0,America/Chicago
6844,South English,Keokuk County,IA,Iowa,52335,City,41.45223,-92.09046,319,207,99,48750,776438,0,America/Chicago
6845,Spencer,Clay County,IA,Iowa,51301,City,43.14136,-95.14444,712,11138,4853,45688,28284393,416681,America/Chicago
6846,Spillville,Winneshiek County,IA,Iowa,52132 / 52168,City,43.20497,-91.95100,563,350,188,38438,1137760,20332,America/Chicago
6847,Spirit Lake,Dickinson County,IA,Iowa,51360,City,43.42218,-95.10222,712,5086,2381,56485,11784222,50684,America/Chicago
6848,Spragueville,Jackson County,IA,Iowa,52069 / 52074,City,42.07252,-90.43513,563,81,41,25750,1727287,0,America/Chicago
6849,Springbrook,Jackson County,IA,Iowa,52031 / 52075,City,42.16419,-90.47652,563,140,69,60625,1549068,0,America/Chicago
6850,Spring Hill,Warren County,IA,Iowa,50125,City,41.41138,-93.64494,515,64,22,38750,312287,0,America/Chicago
6851,Springville,Linn County,IA,Iowa,52336,City,42.05945,-91.44267,319,1135,447,58825,1849921,5871,America/Chicago
6852,Stacyville,Mitchell County,IA,Iowa,50476,City,43.43608,-92.78241,641,475,252,37500,1328474,59025,America/Chicago
6853,Stanhope,Hamilton County,IA,Iowa,50246,City,42.28887,-93.79606,515,408,186,44167,2507860,0,America/Chicago
6854,Stanley,Buchanan County / Fayette County,IA,Iowa,50671,City,42.64196,-91.81189,319,125,43,41875,623254,1113,America/Chicago
6855,St. Ansgar,Mitchell County,IA,Iowa,50472,City,43.37830,-92.91881,641,1150,467,49635,2797934,0,America/Chicago
6856,St. Anthony,Marshall County,IA,Iowa,50051 / 50239,City,42.12221,-93.19493,641,102,34,32000,1451590,0,America/Chicago
6857,Stanton,Montgomery County,IA,Iowa,51573,City,40.98166,-95.10415,712,637,273,61458,2370924,0,America/Chicago
6858,Stanwood,Cedar County,IA,Iowa,52337,City,41.89307,-91.15071,319,662,254,49167,1851629,0,America/Chicago
6859,State Center,Marshall County,IA,Iowa,50247,City,42.01665,-93.16354,641,1452,539,52917,2552724,0,America/Chicago
6860,St. Benedict,Kossuth County,IA,Iowa,50483 / 50511,CDP,43.03802,-94.06440,515,29,8,90000,1986738,0,America/Chicago
6861,St. Charles,Madison County,IA,Iowa,50240,City,41.28833,-93.80939,641,618,251,66771,1391701,0,America/Chicago
6862,St. Donatus,Jackson County,IA,Iowa,52031 / 52071,City,42.36084,-90.53930,563,131,62,51071,961888,0,America/Chicago
6863,Steamboat Rock,Hardin County,IA,Iowa,50672,City,42.40943,-93.06576,641,309,139,39250,1411264,0,America/Chicago
6864,St. Joseph,Kossuth County,IA,Iowa,50519,CDP,42.91330,-94.22719,515,43,12,45625,2231673,0,America/Chicago
6865,St. Lucas,Fayette County,IA,Iowa,52166 / 52171,City,43.06636,-91.93350,563,137,76,57273,689164,0,America/Chicago
6866,St. Marys,Warren County,IA,Iowa,50240,City,41.30805,-93.72966,641,128,59,73750,361422,0,America/Chicago
6867,Stockport,Van Buren County,IA,Iowa,52651,City,40.85753,-91.83517,319,290,107,32019,2656369,0,America/Chicago
6868,Stockton,Muscatine County,IA,Iowa,52769,City,41.59142,-90.85876,563,197,68,52500,281357,0,America/Chicago
6869,St. Olaf,Clayton County,IA,Iowa,52072,City,42.92860,-91.38625,563,104,53,39028,632230,0,America/Chicago
6870,Stone City,Jones County,IA,Iowa,52205,CDP,42.11389,-91.34933,319,231,94,81786,4523237,144340,America/Chicago
6871,Storm Lake,Buena Vista County,IA,Iowa,50588,City,42.64109,-95.20972,712,10773,3582,43539,13657402,0,America/Chicago
6872,Story City,Story County,IA,Iowa,50248,City,42.18721,-93.59577,515,3410,1478,52330,7097956,5179,America/Chicago
6873,Stout,Grundy County,IA,Iowa,50665 / 50673,City,42.52637,-92.71186,319,220,69,57750,765894,0,America/Chicago
6874,St. Paul,Lee County,IA,Iowa,52656 / 52657,City,40.76948,-91.51710,319,131,43,54750,983113,0,America/Chicago
6875,Stratford,Hamilton County / Webster County,IA,Iowa,50249,City,42.26912,-93.92724,515,718,263,45250,4951978,0,America/Chicago
6876,Strawberry Point,Clayton County,IA,Iowa,52076,City,42.68360,-91.53403,563,1227,544,43700,5471678,0,America/Chicago
6877,Struble,Plymouth County,IA,Iowa,51031,City,42.89527,-96.19530,712,78,39,59688,402496,0,America/Chicago
6878,Stuart,Adair County / Guthrie County,IA,Iowa,50250,City,41.50027,-94.31868,515,1589,660,38250,7129121,0,America/Chicago
6879,Sully,Jasper County,IA,Iowa,50251,City,41.57833,-92.84492,641,819,328,59018,1515957,0,America/Chicago
