id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6493,Lawler,Chickasaw County,IA,Iowa,52154,City,43.07053,-92.15017,563,419,163,46250,2289124,30081,America/Chicago
6494,Lawton,Woodbury County,IA,Iowa,51030,City,42.47860,-96.18391,712,961,322,65556,1848495,0,America/Chicago
6495,Leando,Van Buren County,IA,Iowa,52551,CDP,40.83363,-92.08879,641,28,56,46995,5078663,228377,America/Chicago
6496,Le Claire,Scott County,IA,Iowa,52722 / 52753,City,41.59864,-90.34346,319 / 563,3974,1614,77127,12093764,511946,America/Chicago
6497,Ledyard,Kossuth County,IA,Iowa,50556,City,43.42162,-94.16218,515,126,62,34167,857585,0,America/Chicago
6498,Le Grand,Marshall County / Tama County,IA,Iowa,50142 / 50158,City,42.00625,-92.77506,641,935,398,55357,2700113,18831,America/Chicago
6499,Lehigh,Webster County,IA,Iowa,50557,City,42.35997,-94.05218,515,400,213,30375,5415497,155121,America/Chicago
6500,Leighton,Mahaska County,IA,Iowa,50143,City,41.33722,-92.78714,641,160,58,50000,246200,0,America/Chicago
6501,Leland,Winnebago County,IA,Iowa,50453,City,43.33718,-93.63522,641,286,113,35938,3440178,81554,America/Chicago
6502,Le Mars,Plymouth County,IA,Iowa,51031,City,42.79416,-96.16558,712,9935,4211,50283,23285842,22701,America/Chicago
6503,Lenox,Adams County / Taylor County,IA,Iowa,50851,City,40.88318,-94.55865,641,1407,693,36741,5125783,211638,America/Chicago
6504,Leon,Decatur County,IA,Iowa,50144,City,40.73972,-93.74772,641,1880,771,36172,8216621,22454,America/Chicago
6505,Le Roy,Decatur County,IA,Iowa,50103 / 50264,City,40.87778,-93.59272,641,14,5,33396,853677,0,America/Chicago
6506,Lester,Lyon County,IA,Iowa,51241 / 51242 / 51246,City,43.44470,-96.33309,712,304,110,56731,4720358,0,America/Chicago
6507,Letts,Louisa County,IA,Iowa,52754,City,41.32836,-91.23710,319,376,151,46250,1517544,0,America/Chicago
